Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..
Afghanistan,AFG,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..
Afghanistan,AFG,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,63.6399993896484
Afghanistan,AFG,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
Afghanistan,AFG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Afghanistan,AFG,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,5.40467348611677
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.30341213305193
Afghanistan,AFG,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,..
Afghanistan,AFG,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,29.1
Afghanistan,AFG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..
Afghanistan,AFG,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,..
Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Afghanistan,AFG,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,..
Afghanistan,AFG,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,..
Afghanistan,AFG,"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,..
Afghanistan,AFG,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,..
Afghanistan,AFG,Time required to obtain an operating license (days),IC.FRM.DURS,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.2829999923706
Afghanistan,AFG,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,500
Afghanistan,AFG,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Afghanistan,AFG,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.54408325116881
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,9.5548753337865
Albania,ALB,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,..
Albania,ALB,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..
Albania,ALB,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,..
Albania,ALB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..
Albania,ALB,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,6.562057330622
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.926918061639398
