id;name_rus;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel;rank;total_segment_score;total_element_score;total_component_score;total_deductions;type
id152;Евгений СЕМЕНЕНКО;1;4T+3T;;13.7;;2.47;16.17;1;103.36;58.1;45.26;0;sp
id152;Евгений СЕМЕНЕНКО;2;4S;;9.7;;3.1;12.8;1;103.36;58.1;45.26;0;sp
id152;Евгений СЕМЕНЕНКО;3;CCoSp4;;3.5;;1.19;4.69;1;103.36;58.1;45.26;0;sp
id152;Евгений СЕМЕНЕНКО;4;3A;;8.8;x;2.4;11.2;1;103.36;58.1;45.26;0;sp
id152;Евгений СЕМЕНЕНКО;5;StSq4;;3.9;;1.4;5.3;1;103.36;58.1;45.26;0;sp
id152;Евгений СЕМЕНЕНКО;6;CSSp4;;3.0;;0.84;3.84;1;103.36;58.1;45.26;0;sp
id152;Евгений СЕМЕНЕНКО;7;FCSp4;;3.2;;0.9;4.1;1;103.36;58.1;45.26;0;sp
id75;Алексей ЕРОХОВ;1;4S+3T;;13.9;;2.52;16.42;2;93.61;51.52;42.09;0;sp
id75;Алексей ЕРОХОВ;2;4T;;9.5;;2.85;12.35;2;93.61;51.52;42.09;0;sp
id75;Алексей ЕРОХОВ;3;FCSp2;;2.3;;-0.14;2.16;2;93.61;51.52;42.09;0;sp
id75;Алексей ЕРОХОВ;4;3A;;8.8;x;1.12;9.92;2;93.61;51.52;42.09;0;sp
id75;Алексей ЕРОХОВ;5;CSSp4;;3.0;;0.72;3.72;2;93.61;51.52;42.09;0;sp
id75;Алексей ЕРОХОВ;6;StSq2;;2.6;;0.57;3.17;2;93.61;51.52;42.09;0;sp
id75;Алексей ЕРОХОВ;7;CCoSp3;;3.0;;0.78;3.78;2;93.61;51.52;42.09;0;sp
id150;Илья ЯБЛОКОВ;1;4T;;9.5;;3.23;12.73;3;93.31;50.14;43.17;0;sp
id150;Илья ЯБЛОКОВ;2;3Lz!+3T;!;10.1;;0.71;10.81;3;93.31;50.14;43.17;0;sp
id150;Илья ЯБЛОКОВ;3;FCSp4;;3.2;;0.77;3.97;3;93.31;50.14;43.17;0;sp
id150;Илья ЯБЛОКОВ;4;3A;;8.8;x;1.92;10.72;3;93.31;50.14;43.17;0;sp
id150;Илья ЯБЛОКОВ;5;CSSp4;;3.0;;0.78;3.78;3;93.31;50.14;43.17;0;sp
id150;Илья ЯБЛОКОВ;6;StSq3;;3.3;;0.99;4.29;3;93.31;50.14;43.17;0;sp
id150;Илья ЯБЛОКОВ;7;CCoSp3;;3.0;;0.84;3.84;3;93.31;50.14;43.17;0;sp
id164;Матвей ВЕТЛУГИН;1;3A;;8.0;;1.6;9.6;4;87.41;45.07;42.34;0;sp
id164;Матвей ВЕТЛУГИН;2;3F;;5.3;;-0.32;4.98;4;87.41;45.07;42.34;0;sp
id164;Матвей ВЕТЛУГИН;3;CCoSp4;;3.5;;0.77;4.27;4;87.41;45.07;42.34;0;sp
id164;Матвей ВЕТЛУГИН;4;3Lz+3Lo;;11.88;x;1.65;13.53;4;87.41;45.07;42.34;0;sp
id164;Матвей ВЕТЛУГИН;5;CSSp4;;3.0;;0.78;3.78;4;87.41;45.07;42.34;0;sp
id164;Матвей ВЕТЛУГИН;6;FCSp4;;3.2;;1.09;4.29;4;87.41;45.07;42.34;0;sp
id164;Матвей ВЕТЛУГИН;7;StSq3;;3.3;;1.32;4.62;4;87.41;45.07;42.34;0;sp
id148;Макар ИГНАТОВ;1;4Lo;;10.5;;3.15;13.65;5;82.91;41.74;42.17;-1;sp
id148;Макар ИГНАТОВ;2;4T+3Tq;q;13.7;;-1.9;11.8;5;82.91;41.74;42.17;-1;sp
id148;Макар ИГНАТОВ;3;FCSp4;;3.2;;0.64;3.84;5;82.91;41.74;42.17;-1;sp
id148;Макар ИГНАТОВ;4;3A;F;8.8;x;-4.0;4.8;5;82.91;41.74;42.17;-1;sp
id148;Макар ИГНАТОВ;5;CSSp;;0.0;;0.0;0.0;5;82.91;41.74;42.17;-1;sp
id148;Макар ИГНАТОВ;6;StSq2;;2.6;;0.57;3.17;5;82.91;41.74;42.17;-1;sp
id148;Макар ИГНАТОВ;7;CCoSp4;;3.5;;0.98;4.48;5;82.91;41.74;42.17;-1;sp
id78;Артём КОВАЛЁВ;1;4T+2T;;10.8;;-1.52;9.28;6;80.61;39.19;41.42;0;sp
id78;Артём КОВАЛЁВ;2;4Sq;q;9.7;;-0.97;8.73;6;80.61;39.19;41.42;0;sp
id78;Артём КОВАЛЁВ;3;CSSp4;;3.0;;0.42;3.42;6;80.61;39.19;41.42;0;sp
id78;Артём КОВАЛЁВ;4;FCSp4;;3.2;;0.45;3.65;6;80.61;39.19;41.42;0;sp
id78;Артём КОВАЛЁВ;5;3A<;<;7.04;x;-0.9;6.14;6;80.61;39.19;41.42;0;sp
id78;Артём КОВАЛЁВ;6;StSq2;;2.6;;0.68;3.28;6;80.61;39.19;41.42;0;sp
id78;Артём КОВАЛЁВ;7;CCoSp4;;3.5;;1.19;4.69;6;80.61;39.19;41.42;0;sp
id86;Владимир ОЩЕПКОВ;1;3A;;8.0;;0.8;8.8;7;65.01;31.44;33.57;0;sp
id86;Владимир ОЩЕПКОВ;2;3Lz;;5.9;;-0.24;5.66;7;65.01;31.44;33.57;0;sp
id86;Владимир ОЩЕПКОВ;3;FCSp3;;2.8;;0.45;3.25;7;65.01;31.44;33.57;0;sp
id86;Владимир ОЩЕПКОВ;4;3F+3T<<;<<;7.26;x;-2.33;4.93;7;65.01;31.44;33.57;0;sp
id86;Владимир ОЩЕПКОВ;5;CSSp4;;3.0;;0.3;3.3;7;65.01;31.44;33.57;0;sp
