id;name_rus;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel;rank;total_segment_score;total_element_score;total_component_score;total_deductions;type;tss_sp;ts;final_rank
id152;Евгений СЕМЕНЕНКО;1;4Tq+3T;q;13.7;;-0.41;13.29;1;195.92;101.98;93.94;0;fs;99.15;295.07;1
id152;Евгений СЕМЕНЕНКО;2;4S;;9.7;;2.91;12.61;1;195.92;101.98;93.94;0;fs;99.15;295.07;1
id76;Пётр ГУМЕННИК;1;4S+3T;;13.9;;3.33;17.23;2;190.6;98.06;92.54;0;fs;104.47;295.07;1
id76;Пётр ГУМЕННИК;2;4Lo;;10.5;;3.6;14.1;2;190.6;98.06;92.54;0;fs;104.47;295.07;1
id152;Евгений СЕМЕНЕНКО;3;4T;;9.5;;3.12;12.62;1;195.92;101.98;93.94;0;fs;99.15;295.07;1
id76;Пётр ГУМЕННИК;3;4S<;<;7.76;;-2.55;5.21;2;190.6;98.06;92.54;0;fs;104.47;295.07;1
id152;Евгений СЕМЕНЕНКО;4;3A+2A+SЕQ;;11.3;;2.4;13.7;1;195.92;101.98;93.94;0;fs;99.15;295.07;1
id76;Пётр ГУМЕННИК;4;FCSp4;;3.2;;0.91;4.11;2;190.6;98.06;92.54;0;fs;104.47;295.07;1
id152;Евгений СЕМЕНЕНКО;5;CCoSp3;;3.0;;0.9;3.9;1;195.92;101.98;93.94;0;fs;99.15;295.07;1
id76;Пётр ГУМЕННИК;5;3A+2A+SЕQ;;11.3;;1.83;13.13;2;190.6;98.06;92.54;0;fs;104.47;295.07;1
id152;Евгений СЕМЕНЕНКО;6;3A+1Eu+3S;;14.08;x;1.71;15.79;1;195.92;101.98;93.94;0;fs;99.15;295.07;1
id76;Пётр ГУМЕННИК;6;StSq3;;3.3;;0.85;4.15;2;190.6;98.06;92.54;0;fs;104.47;295.07;1
id152;Евгений СЕМЕНЕНКО;7;3F;;5.83;x;1.14;6.97;1;195.92;101.98;93.94;0;fs;99.15;295.07;1
id76;Пётр ГУМЕННИК;7;3F;;5.83;x;0.76;6.59;2;190.6;98.06;92.54;0;fs;104.47;295.07;1
id152;Евгений СЕМЕНЕНКО;8;3Lo;;5.39;x;1.19;6.58;1;195.92;101.98;93.94;0;fs;99.15;295.07;1
id76;Пётр ГУМЕННИК;8;3A;;8.8;x;2.17;10.97;2;190.6;98.06;92.54;0;fs;104.47;295.07;1
id152;Евгений СЕМЕНЕНКО;9;StSq3;;3.3;;1.08;4.38;1;195.92;101.98;93.94;0;fs;99.15;295.07;1
id76;Пётр ГУМЕННИК;9;2Lz+3Lo+2Loq;q;9.57;x;-0.42;9.15;2;190.6;98.06;92.54;0;fs;104.47;295.07;1
id152;Евгений СЕМЕНЕНКО;10;ChSq1;;3.0;;1.64;4.64;1;195.92;101.98;93.94;0;fs;99.15;295.07;1
id76;Пётр ГУМЕННИК;10;ChSq1;;3.0;;1.57;4.57;2;190.6;98.06;92.54;0;fs;104.47;295.07;1
id152;Евгений СЕМЕНЕНКО;11;CSSp4;;3.0;;0.9;3.9;1;195.92;101.98;93.94;0;fs;99.15;295.07;1
id76;Пётр ГУМЕННИК;11;FCCoSp4;;3.5;;1.0;4.5;2;190.6;98.06;92.54;0;fs;104.47;295.07;1
id152;Евгений СЕМЕНЕНКО;12;FCSp3;;2.8;;0.8;3.6;1;195.92;101.98;93.94;0;fs;99.15;295.07;1
id76;Пётр ГУМЕННИК;12;CCoSp4;;3.5;;0.85;4.35;2;190.6;98.06;92.54;0;fs;104.47;295.07;1
id69;Александр САМАРИН;1;4Lz+3T;;15.7;;3.61;19.31;3;185.83;93.92;91.91;0;fs;96.57;282.4;2
id69;Александр САМАРИН;2;3Lz;;5.9;;1.26;7.16;3;185.83;93.92;91.91;0;fs;96.57;282.4;2
id69;Александр САМАРИН;3;3A;;8.0;;2.29;10.29;3;185.83;93.92;91.91;0;fs;96.57;282.4;2
id69;Александр САМАРИН;4;3Lo;;4.9;;0.91;5.81;3;185.83;93.92;91.91;0;fs;96.57;282.4;2
id69;Александр САМАРИН;5;FCSp3;;2.8;;0.6;3.4;3;185.83;93.92;91.91;0;fs;96.57;282.4;2
id69;Александр САМАРИН;6;ChSq1;;3.0;;1.14;4.14;3;185.83;93.92;91.91;0;fs;96.57;282.4;2
id69;Александр САМАРИН;7;3Lz+1Eu+3F;;12.87;x;1.35;14.22;3;185.83;93.92;91.91;0;fs;96.57;282.4;2
id69;Александр САМАРИН;8;3A+2A+SЕQ;;12.43;x;1.37;13.8;3;185.83;93.92;91.91;0;fs;96.57;282.4;2
id69;Александр САМАРИН;9;3S;;4.73;x;-0.06;4.67;3;185.83;93.92;91.91;0;fs;96.57;282.4;2
id69;Александр САМАРИН;10;StSq2;;2.6;;0.71;3.31;3;185.83;93.92;91.91;0;fs;96.57;282.4;2
id69;Александр САМАРИН;11;CSSp3;;2.6;;0.71;3.31;3;185.83;93.92;91.91;0;fs;96.57;282.4;2
id69;Александр САМАРИН;12;CCoSp4;;3.5;;1.0;4.5;3;185.83;93.92;91.91;0;fs;96.57;282.4;2
id66;Дмитрий АЛИЕВ;1;4T;;9.5;;3.66;13.16;4;181.72;89.91;91.81;0;fs;90.85;272.57;3
id66;Дмитрий АЛИЕВ;2;4S;;9.7;;3.19;12.89;4;181.72;89.91;91.81;0;fs;90.85;272.57;3
id66;Дмитрий АЛИЕВ;3;4T+3T;;13.7;;1.49;15.19;4;181.72;89.91;91.81;0;fs;90.85;272.57;3
id66;Дмитрий АЛИЕВ;4;1A;;1.1;;0.0;1.1;4;181.72;89.91;91.81;0;fs;90.85;272.57;3
id66;Дмитрий АЛИЕВ;5;CCoSp4;;3.5;;0.9;4.4;4;181.72;89.91;91.81;0;fs;90.85;272.57;3
id66;Дмитрий АЛИЕВ;6;3A<+1Eu+3S;<;12.32;x;-1.37;10.95;4;181.72;89.91;91.81;0;fs;90.85;272.57;3
id66;Дмитрий АЛИЕВ;7;3Lz+2A+SЕQ;;10.12;x;0.84;10.96;4;181.72;89.91;91.81;0;fs;90.85;272.57;3
id66;Дмитрий АЛИЕВ;8;3Lo;;5.39;x;1.19;6.58;4;181.72;89.91;91.81;0;fs;90.85;272.57;3
id66;Дмитрий АЛИЕВ;9;FCSp3;;2.8;;0.64;3.44;4;181.72;89.91;91.81;0;fs;90.85;272.57;3
id66;Дмитрий АЛИЕВ;10;StSq2;;2.6;;0.56;3.16;4;181.72;89.91;91.81;0;fs;90.85;272.57;3
id66;Дмитрий АЛИЕВ;11;ChSq1;;3.0;;1.14;4.14;4;181.72;89.91;91.81;0;fs;90.85;272.57;3
id66;Дмитрий АЛИЕВ;12;CSSp4;;3.0;;0.94;3.94;4;181.72;89.91;91.81;0;fs;90.85;272.57;3
id78;Артём КОВАЛЁВ;1;4S;;9.7;;2.22;11.92;5;172.03;86.61;85.42;0;fs;96.49;268.52;4
id78;Артём КОВАЛЁВ;2;2T;;1.3;;0.06;1.36;5;172.03;86.61;85.42;0;fs;96.49;268.52;4
id78;Артём КОВАЛЁВ;3;4T+3T;;13.7;;1.9;15.6;5;172.03;86.61;85.42;0;fs;96.49;268.52;4
id78;Артём КОВАЛЁВ;4;3Lo;;4.9;;1.4;6.3;5;172.03;86.61;85.42;0;fs;96.49;268.52;4
