id;name_rus;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel;rank;total_segment_score;total_element_score;total_component_score;total_deductions;type
id76;Пётр ГУМЕННИК;1;4S+3T;;13.9;;2.08;15.98;1;104.47;57.88;46.59;0;sp
id76;Пётр ГУМЕННИК;2;4Lo;;10.5;;3.15;13.65;1;104.47;57.88;46.59;0;sp
id76;Пётр ГУМЕННИК;3;FCSp4;;3.2;;0.87;4.07;1;104.47;57.88;46.59;0;sp
id76;Пётр ГУМЕННИК;4;3A;;8.8;x;2.74;11.54;1;104.47;57.88;46.59;0;sp
id76;Пётр ГУМЕННИК;5;CSSp4;;3.0;;0.9;3.9;1;104.47;57.88;46.59;0;sp
id76;Пётр ГУМЕННИК;6;StSq3;;3.3;;0.99;4.29;1;104.47;57.88;46.59;0;sp
id76;Пётр ГУМЕННИК;7;CCoSp4;;3.5;;0.95;4.45;1;104.47;57.88;46.59;0;sp
id152;Евгений СЕМЕНЕНКО;1;4T+3T;;13.7;;2.04;15.74;2;99.15;53.34;45.81;0;sp
id152;Евгений СЕМЕНЕНКО;2;4S;;9.7;;2.63;12.33;2;99.15;53.34;45.81;0;sp
id152;Евгений СЕМЕНЕНКО;3;CCoSp3;;3.0;;0.86;3.86;2;99.15;53.34;45.81;0;sp
id152;Евгений СЕМЕНЕНКО;4;3A;;8.8;x;2.4;11.2;2;99.15;53.34;45.81;0;sp
id152;Евгений СЕМЕНЕНКО;5;StSq2;;2.6;;0.82;3.42;2;99.15;53.34;45.81;0;sp
id152;Евгений СЕМЕНЕНКО;6;CSSp3;;2.6;;0.63;3.23;2;99.15;53.34;45.81;0;sp
id152;Евгений СЕМЕНЕНКО;7;FCSp3;;2.8;;0.76;3.56;2;99.15;53.34;45.81;0;sp
id80;Андрей МОЗАЛЁВ;1;4Sq+3T;q;13.9;;-0.14;13.76;3;98.7;53.49;45.21;0;sp
id80;Андрей МОЗАЛЁВ;2;3A;;8.0;;2.4;10.4;3;98.7;53.49;45.21;0;sp
id80;Андрей МОЗАЛЁВ;3;FCSp4;;3.2;;0.96;4.16;3;98.7;53.49;45.21;0;sp
id80;Андрей МОЗАЛЁВ;4;4T;;10.45;x;2.85;13.3;3;98.7;53.49;45.21;0;sp
id80;Андрей МОЗАЛЁВ;5;CSSp3;;2.6;;0.78;3.38;3;98.7;53.49;45.21;0;sp
id80;Андрей МОЗАЛЁВ;6;StSq3;;3.3;;0.99;4.29;3;98.7;53.49;45.21;0;sp
id80;Андрей МОЗАЛЁВ;7;CCoSp4;;3.5;;0.7;4.2;3;98.7;53.49;45.21;0;sp
id164;Матвей ВЕТЛУГИН;1;3A;;8.0;;2.29;10.29;4;97.58;52.6;44.98;0;sp
id164;Матвей ВЕТЛУГИН;2;4T;;9.5;;2.58;12.08;4;97.58;52.6;44.98;0;sp
id164;Матвей ВЕТЛУГИН;3;CCoSp4;;3.5;;1.1;4.6;4;97.58;52.6;44.98;0;sp
id164;Матвей ВЕТЛУГИН;4;3Lz+3Lo;;11.88;x;1.77;13.65;4;97.58;52.6;44.98;0;sp
id164;Матвей ВЕТЛУГИН;5;CSSp4;;3.0;;0.86;3.86;4;97.58;52.6;44.98;0;sp
id164;Матвей ВЕТЛУГИН;6;FCSp3;;2.8;;0.84;3.64;4;97.58;52.6;44.98;0;sp
id164;Матвей ВЕТЛУГИН;7;StSq3;;3.3;;1.18;4.48;4;97.58;52.6;44.98;0;sp
id69;Александр САМАРИН;1;4Lz;;11.5;;3.94;15.44;5;96.57;51.36;45.21;0;sp
id69;Александр САМАРИН;2;3A;;8.0;;1.94;9.94;5;96.57;51.36;45.21;0;sp
id69;Александр САМАРИН;3;FCSp4;;3.2;;0.78;3.98;5;96.57;51.36;45.21;0;sp
id69;Александр САМАРИН;4;3Lz+3T;;11.11;x;-0.42;10.69;5;96.57;51.36;45.21;0;sp
id69;Александр САМАРИН;5;CSSp4;;3.0;;0.69;3.69;5;96.57;51.36;45.21;0;sp
id69;Александр САМАРИН;6;StSq2;;2.6;;0.67;3.27;5;96.57;51.36;45.21;0;sp
id69;Александр САМАРИН;7;CCoSp4;;3.5;;0.85;4.35;5;96.57;51.36;45.21;0;sp
id78;Артём КОВАЛЁВ;1;4T+3T;;13.7;;2.31;16.01;6;96.49;53.55;42.94;0;sp
id78;Артём КОВАЛЁВ;2;4S;;9.7;;2.63;12.33;6;96.49;53.55;42.94;0;sp
id78;Артём КОВАЛЁВ;3;CSSp4;;3.0;;0.39;3.39;6;96.49;53.55;42.94;0;sp
id78;Артём КОВАЛЁВ;4;FCSp3;;2.8;;0.32;3.12;6;96.49;53.55;42.94;0;sp
id78;Артём КОВАЛЁВ;5;3A;;8.8;x;2.06;10.86;6;96.49;53.55;42.94;0;sp
id78;Артём КОВАЛЁВ;6;StSq2;;2.6;;0.74;3.34;6;96.49;53.55;42.94;0;sp
id78;Артём КОВАЛЁВ;7;CCoSp4;;3.5;;1.0;4.5;6;96.49;53.55;42.94;0;sp
id148;Макар ИГНАТОВ;1;4Lo;;10.5;;1.5;12.0;7;94.29;50.63;43.66;0;sp
id148;Макар ИГНАТОВ;2;4T+3T;;13.7;;2.85;16.55;7;94.29;50.63;43.66;0;sp
id148;Макар ИГНАТОВ;3;FCSp3;;2.8;;0.76;3.56;7;94.29;50.63;43.66;0;sp
id148;Макар ИГНАТОВ;4;3A;;8.8;x;-0.46;8.34;7;94.29;50.63;43.66;0;sp
id148;Макар ИГНАТОВ;5;CSSp1;;1.9;;-0.08;1.82;7;94.29;50.63;43.66;0;sp
id148;Макар ИГНАТОВ;6;StSq3;;3.3;;0.66;3.96;7;94.29;50.63;43.66;0;sp
id148;Макар ИГНАТОВ;7;CCoSp4;;3.5;;0.9;4.4;7;94.29;50.63;43.66;0;sp
id150;Илья ЯБЛОКОВ;1;4T;;9.5;;2.99;12.49;8;93.27;49.56;43.71;0;sp
id150;Илья ЯБЛОКОВ;2;3Lz!+3T;!;10.1;;0.0;10.1;8;93.27;49.56;43.71;0;sp
id150;Илья ЯБЛОКОВ;3;FCSp3;;2.8;;0.64;3.44;8;93.27;49.56;43.71;0;sp
id150;Илья ЯБЛОКОВ;4;3A;;8.8;x;2.17;10.97;8;93.27;49.56;43.71;0;sp
id150;Илья ЯБЛОКОВ;5;CSSp4;;3.0;;0.77;3.77;8;93.27;49.56;43.71;0;sp
id150;Илья ЯБЛОКОВ;6;StSq3;;3.3;;0.94;4.24;8;93.27;49.56;43.71;0;sp
id150;Илья ЯБЛОКОВ;7;CCoSp4;;3.5;;1.05;4.55;8;93.27;49.56;43.71;0;sp
id66;Дмитрий АЛИЕВ;1;4S;;9.7;;-2.63;7.07;9;90.85;45.57;45.28;0;sp
id66;Дмитрий АЛИЕВ;2;4T+3T;;13.7;;2.44;16.14;9;90.85;45.57;45.28;0;sp
id66;Дмитрий АЛИЕВ;3;CCoSp3;;3.0;;0.04;3.04;9;90.85;45.57;45.28;0;sp
id66;Дмитрий АЛИЕВ;4;3Aq;q;8.8;x;-1.83;6.97;9;90.85;45.57;45.28;0;sp
id66;Дмитрий АЛИЕВ;5;FCSp4;;3.2;;0.91;4.11;9;90.85;45.57;45.28;0;sp
id66;Дмитрий АЛИЕВ;6;StSq3;;3.3;;1.08;4.38;9;90.85;45.57;45.28;0;sp
id66;Дмитрий АЛИЕВ;7;CSSp4;;3.0;;0.86;3.86;9;90.85;45.57;45.28;0;sp
id63;Глеб ЛУТФУЛЛИН;1;4T;F;9.5;;-4.75;4.75;10;84.09;44.61;40.48;-1;sp
id63;Глеб ЛУТФУЛЛИН;2;4S+3Lo;;14.6;;1.8;16.4;10;84.09;44.61;40.48;-1;sp
id63;Глеб ЛУТФУЛЛИН;3;CSSp4;;3.0;;0.39;3.39;10;84.09;44.61;40.48;-1;sp
id63;Глеб ЛУТФУЛЛИН;4;3A;;8.8;x;1.03;9.83;10;84.09;44.61;40.48;-1;sp
id63;Глеб ЛУТФУЛЛИН;5;FCSp3;;2.8;;0.44;3.24;10;84.09;44.61;40.48;-1;sp
id63;Глеб ЛУТФУЛЛИН;6;StSq2;;2.6;;0.45;3.05;10;84.09;44.61;40.48;-1;sp
id63;Глеб ЛУТФУЛЛИН;7;CCoSp4;;3.5;;0.45;3.95;10;84.09;44.61;40.48;-1;sp
id75;Алексей ЕРОХОВ;1;4S+3T;;13.9;;1.94;15.84;11;77.75;36.84;40.91;0;sp
id75;Алексей ЕРОХОВ;2;2T*;*;0.0;;0.0;0.0;11;77.75;36.84;40.91;0;sp
id75;Алексей ЕРОХОВ;3;FCSp4;;3.2;;0.46;3.66;11;77.75;36.84;40.91;0;sp
id75;Алексей ЕРОХОВ;4;3Aq;q;8.8;x;-2.17;6.63;11;77.75;36.84;40.91;0;sp
id75;Алексей ЕРОХОВ;5;CSSp4;;3.0;;0.39;3.39;11;77.75;36.84;40.91;0;sp
id75;Алексей ЕРОХОВ;6;StSq2;;2.6;;0.52;3.12;11;77.75;36.84;40.91;0;sp
id75;Алексей ЕРОХОВ;7;CCoSp4;;3.5;;0.7;4.2;11;77.75;36.84;40.91;0;sp
id72;Марк КОНДРАТЮК;1;4S;;9.7;;-3.19;6.51;12;77.5;35.44;43.06;-1;sp
id72;Марк КОНДРАТЮК;2;3A;;8.0;;0.46;8.46;12;77.5;35.44;43.06;-1;sp
id72;Марк КОНДРАТЮК;3;CCSp3;;2.8;;-0.2;2.6;12;77.5;35.44;43.06;-1;sp
id72;Марк КОНДРАТЮК;4;3Lz+3T;F;11.11;x;-2.95;8.16;12;77.5;35.44;43.06;-1;sp
id72;Марк КОНДРАТЮК;5;CCoSp3;;3.0;;0.21;3.21;12;77.5;35.44;43.06;-1;sp
id72;Марк КОНДРАТЮК;6;StSq2;;2.6;;0.71;3.31;12;77.5;35.44;43.06;-1;sp
id72;Марк КОНДРАТЮК;7;FSSp3;;2.6;;0.59;3.19;12;77.5;35.44;43.06;-1;sp
id67;Иван ПОПОВ;1;4T;;9.5;;-1.76;7.74;13;77.02;38.6;38.42;0;sp
id67;Иван ПОПОВ;2;3A;;8.0;;0.91;8.91;13;77.02;38.6;38.42;0;sp
id67;Иван ПОПОВ;3;CCoSp3;;3.0;;0.56;3.56;13;77.02;38.6;38.42;0;sp
id67;Иван ПОПОВ;4;3Lz+3T<;<;10.19;x;-1.18;9.01;13;77.02;38.6;38.42;0;sp
id67;Иван ПОПОВ;5;CCSp3;;2.8;;0.44;3.24;13;77.02;38.6;38.42;0;sp
id67;Иван ПОПОВ;6;StSq3;;3.3;;0.28;3.58;13;77.02;38.6;38.42;0;sp
id67;Иван ПОПОВ;7;FSSp3;;2.6;;-0.04;2.56;13;77.02;38.6;38.42;0;sp
id84;Артур ДАНИЕЛЯН;1;4S<;F;7.76;;-3.88;3.88;14;74.65;35.04;40.61;-1;sp
id84;Артур ДАНИЕЛЯН;2;3A;;8.0;;-0.11;7.89;14;74.65;35.04;40.61;-1;sp
id84;Артур ДАНИЕЛЯН;3;FSSp4;;3.0;;0.34;3.34;14;74.65;35.04;40.61;-1;sp
id84;Артур ДАНИЕЛЯН;4;3Lz+3T<;<;10.19;x;-1.01;9.18;14;74.65;35.04;40.61;-1;sp
id84;Артур ДАНИЕЛЯН;5;StSq2;;2.6;;0.59;3.19;14;74.65;35.04;40.61;-1;sp
id84;Артур ДАНИЕЛЯН;6;CCSp4;;3.2;;0.46;3.66;14;74.65;35.04;40.61;-1;sp
id84;Артур ДАНИЕЛЯН;7;CCoSp4;;3.5;;0.4;3.9;14;74.65;35.04;40.61;-1;sp
id82;Владислав КАТИЧЕВ;1;3A;;8.0;;1.37;9.37;15;74.38;37.71;36.67;0;sp
id82;Владислав КАТИЧЕВ;2;3Lz+3T;;10.1;;-0.67;9.43;15;74.38;37.71;36.67;0;sp
