id;name_rus;element_number;element_name;info;base_value;multiplayer;grade_of_execution;scores_of_panel;rank;total_segment_score;total_element_score;total_component_score;total_deductions;type
id5;Софья АКАТЬЕВА;1;3A;;8.0;;3.09;11.09;1;85.59;49.01;36.58;0;sp
id5;Софья АКАТЬЕВА;2;3F;;5.3;;1.59;6.89;1;85.59;49.01;36.58;0;sp
id5;Софья АКАТЬЕВА;3;CCoSp4;;3.5;;1.35;4.85;1;85.59;49.01;36.58;0;sp
id5;Софья АКАТЬЕВА;4;3Lz+3T;;11.11;x;1.77;12.88;1;85.59;49.01;36.58;0;sp
id5;Софья АКАТЬЕВА;5;FCSp4;;3.2;;1.05;4.25;1;85.59;49.01;36.58;0;sp
id5;Софья АКАТЬЕВА;6;StSq4;;3.9;;1.45;5.35;1;85.59;49.01;36.58;0;sp
id5;Софья АКАТЬЕВА;7;LSp4;;2.7;;1.0;3.7;1;85.59;49.01;36.58;0;sp
id1;Елизавета ТУКТАМЫШЕВА;1;3A;;8.0;;2.29;10.29;2;82.98;45.64;37.34;0;sp
id1;Елизавета ТУКТАМЫШЕВА;2;3Lz+3T;;10.1;;1.77;11.87;2;82.98;45.64;37.34;0;sp
id1;Елизавета ТУКТАМЫШЕВА;3;FCSp4;;3.2;;1.14;4.34;2;82.98;45.64;37.34;0;sp
id1;Елизавета ТУКТАМЫШЕВА;4;3F;;5.83;x;1.44;7.27;2;82.98;45.64;37.34;0;sp
id1;Елизавета ТУКТАМЫШЕВА;5;LSp3;;2.4;;0.58;2.98;2;82.98;45.64;37.34;0;sp
id1;Елизавета ТУКТАМЫШЕВА;6;StSq3;;3.3;;0.99;4.29;2;82.98;45.64;37.34;0;sp
id1;Елизавета ТУКТАМЫШЕВА;7;CCoSp4;;3.5;;1.1;4.6;2;82.98;45.64;37.34;0;sp
id9;Софья МУРАВЬЕВА;1;3A;;8.0;;2.97;10.97;3;79.96;44.48;36.48;-1;sp
id9;Софья МУРАВЬЕВА;2;3F;;5.3;;1.67;6.97;3;79.96;44.48;36.48;-1;sp
id9;Софья МУРАВЬЕВА;3;LSp4;;2.7;;0.96;3.66;3;79.96;44.48;36.48;-1;sp
id9;Софья МУРАВЬЕВА;4;3Lz+3T;;11.11;x;1.52;12.63;3;79.96;44.48;36.48;-1;sp
id9;Софья МУРАВЬЕВА;5;CCoSp3;;3.0;;0.86;3.86;3;79.96;44.48;36.48;-1;sp
id9;Софья МУРАВЬЕВА;6;StSq4;F;3.9;;-1.23;2.67;3;79.96;44.48;36.48;-1;sp
id9;Софья МУРАВЬЕВА;7;FCSp3;;2.8;;0.92;3.72;3;79.96;44.48;36.48;-1;sp
id13;Камила ВАЛИЕВА;1;1A*;*;0.0;;0.0;0.0;4;76.61;38.84;37.77;0;sp
id13;Камила ВАЛИЕВА;2;3F;;5.3;;1.89;7.19;4;76.61;38.84;37.77;0;sp
id13;Камила ВАЛИЕВА;3;CCoSp4;;3.5;;1.4;4.9;4;76.61;38.84;37.77;0;sp
id13;Камила ВАЛИЕВА;4;3Lz+3T;;11.11;x;1.77;12.88;4;76.61;38.84;37.77;0;sp
id13;Камила ВАЛИЕВА;5;StSq4;;3.9;;1.62;5.52;4;76.61;38.84;37.77;0;sp
id13;Камила ВАЛИЕВА;6;FCSp4;;3.2;;1.33;4.53;4;76.61;38.84;37.77;0;sp
id13;Камила ВАЛИЕВА;7;LSp4;;2.7;;1.12;3.82;4;76.61;38.84;37.77;0;sp
id23;Аделия ПЕТРОСЯН;1;3A;;8.0;;2.4;10.4;5;76.25;42.15;35.1;-1;sp
id23;Аделия ПЕТРОСЯН;2;3Lz;F;5.9;;-2.95;2.95;5;76.25;42.15;35.1;-1;sp
